""
epoch,train_acc,valid_acc,train_loss,valid_loss
1,0.2921749949455261,0.3483,602.4423052072525,0.014291257643699646
2,0.40162500739097595,0.4648,519.1061978340149,0.011775958395004272
3,0.4287000000476837,0.4394,503.85798597335815,0.01252951613664627
4,0.4602999985218048,0.4679,476.0999346971512,0.011946818637847901
5,0.4812999963760376,0.4782,463.7490910291672,0.011605287247896194
6,0.49744999408721924,0.4414,452.9721617102623,0.013333101439476013
7,0.506600022315979,0.4724,447.2061594724655,0.011909581744670867
8,0.5174000263214111,0.5531,437.87797808647156,0.01043841006755829
9,0.5174999833106995,0.5166,439.91653072834015,0.01100149747133255
10,0.5383999943733215,0.5281,423.6473260521889,0.011196701514720917
11,0.533174991607666,0.5198,428.4981812238693,0.011135243117809295
12,0.5440250039100647,0.5313,419.05749553442,0.011145490849018096
13,0.5456249713897705,0.4811,419.85859775543213,0.012533917880058289
14,0.5405750274658203,0.5488,423.6641563177109,0.010236561405658722
15,0.5432999730110168,0.5209,421.25703823566437,0.010997451484203339
16,0.5477499961853027,0.5534,418.6284697651863,0.01036261664032936
17,0.5601999759674072,0.5374,404.32765501737595,0.010644370996952058
18,0.5532249808311462,0.5228,410.44759917259216,0.011359980380535126
19,0.5503000020980835,0.5641,414.18865633010864,0.010373870241641998
20,0.5490750074386597,0.4982,416.84132993221283,0.01164241189956665
21,0.5566999912261963,0.5318,413.73081600666046,0.010869924676418305
22,0.5724250078201294,0.5536,398.4230657219887,0.010413210010528565
23,0.5693749785423279,0.5619,401.876498401165,0.010175457513332367
24,0.558525025844574,0.5738,410.259158372879,0.010200883829593659
25,0.578374981880188,0.5568,391.1355799436569,0.010760774397850037
26,0.5749750137329102,0.56,394.5505449771881,0.010171457457542419
27,0.5692999958992004,0.5385,403.4581997990608,0.010987583589553833
28,0.5761749744415283,0.5539,393.75136935710907,0.010656796312332153
29,0.5780749917030334,0.5561,394.2369258403778,0.010557749617099762
30,0.5700250267982483,0.5332,401.7073857188225,0.010915146911144256
31,0.5754749774932861,0.5716,395.17939710617065,0.010202052783966064
32,0.5737249851226807,0.5418,396.250474691391,0.011135943853855133
33,0.5757750272750854,0.5833,398.09073996543884,0.009911792629957198
34,0.5772749781608582,0.5768,397.0737678408623,0.009847494506835938
35,0.5799750089645386,0.5581,392.6175833940506,0.010472194123268127
36,0.5825750231742859,0.5583,393.5108113884926,0.010706994903087616
37,0.5757499933242798,0.5672,397.5224822163582,0.010282077664136887
38,0.5808749794960022,0.5308,391.7882775068283,0.01115343565940857
39,0.578000009059906,0.5795,397.3992801308632,0.010428581368923186
40,0.581475019454956,0.56,392.16187900304794,0.0101595068693161
41,0.5900999903678894,0.5908,384.98645889759064,0.00978618974685669
42,0.5842000246047974,0.5551,391.70096576213837,0.01056833153963089
43,0.5827999711036682,0.5146,390.8952194452286,0.011709616219997407
44,0.573074996471405,0.5514,399.7438563108444,0.010564881098270416
45,0.5802249908447266,0.558,391.7543306350708,0.010397038292884827
46,0.586650013923645,0.5287,389.52684235572815,0.01155570900440216
47,0.5842750072479248,0.5681,391.3136678338051,0.010094977080821991
48,0.5873249769210815,0.5769,389.079473733902,0.010049757313728333
49,0.586899995803833,0.5591,385.0470958352089,0.010325391089916229
