""
epoch,train_acc,valid_acc,train_loss,valid_loss
1,0.280525,0.3351,606.3155834674835,0.01436077653169632
2,0.3811,0.3742,530.9593888521194,0.014406481647491455
3,0.41035,0.3922,512.9826980829239,0.01362876000404358
4,0.416225,0.4194,504.67828464508057,0.013220655488967895
5,0.4275,0.4391,497.4146444797516,0.012643713748455047
6,0.432425,0.4397,495.4957239627838,0.012827699089050293
7,0.432475,0.419,493.19040274620056,0.012796494495868683
8,0.435525,0.4259,492.77337193489075,0.01288539698123932
9,0.442175,0.424,488.40446150302887,0.013274158775806427
10,0.436325,0.4248,490.8684310913086,0.012942404389381408
11,0.4438,0.4481,487.6120625734329,0.012284878396987916
12,0.446375,0.4537,486.22711884975433,0.012516093981266022
13,0.447425,0.4446,484.4863452911377,0.012134290182590485
14,0.452425,0.427,481.73552680015564,0.01283579763174057
15,0.449475,0.41,480.33495688438416,0.013507485795021057
16,0.450525,0.4443,482.8571630716324,0.012350262260437011
17,0.446675,0.4361,482.9382839202881,0.012689708709716797
18,0.454875,0.457,480.48069298267365,0.012030947923660279
19,0.45675,0.4483,478.9077923297882,0.01232766913175583
20,0.453575,0.4376,478.2984403371811,0.012749225354194642
21,0.45765,0.4423,477.2429645061493,0.012638432466983795
22,0.458925,0.4305,477.65425193309784,0.013250979888439178
23,0.4598,0.4528,476.4969893693924,0.01212437093257904
24,0.4598,0.4558,475.37262308597565,0.011921144676208495
25,0.45935,0.4394,474.4811795949936,0.012747850632667541
26,0.465575,0.4453,471.59233272075653,0.012613761460781097
27,0.4653,0.4836,471.2978780269623,0.011803805339336395
28,0.46685,0.4411,471.14788150787354,0.012217226445674896
29,0.465,0.4452,473.3108912706375,0.012509726548194886
30,0.466475,0.4538,468.65217447280884,0.01219677586555481
31,0.46705,0.444,468.31371688842773,0.012306685066223145
32,0.463725,0.4608,470.6302398443222,0.012304295420646667
33,0.467975,0.4613,469.8363962173462,0.012321097183227539
34,0.47165,0.4515,467.92045652866364,0.012346526539325714
35,0.467575,0.417,470.090739607811,0.013420712435245515
36,0.4761,0.4483,463.8703691959381,0.012591112101078033
37,0.470975,0.4431,469.6140184402466,0.012746461272239685
38,0.46975,0.4576,467.9803544282913,0.01229512506723404
39,0.473325,0.4824,466.6695064306259,0.011886021435260772
40,0.477625,0.4647,465.0403834581375,0.012038968145847321
41,0.472,0.4687,465.7996175289154,0.011988379979133606
42,0.47495,0.458,467.7735003232956,0.012508604454994202
43,0.47085,0.4582,469.8231509923935,0.0122663969039917
44,0.4732,0.4571,468.16148614883423,0.012139455699920655
45,0.47155,0.454,468.47898149490356,0.012259998059272767
46,0.475425,0.4659,465.1145992279053,0.011869583714008331
47,0.47185,0.4678,466.93918669223785,0.012043050479888916
48,0.477125,0.4477,466.4017060995102,0.012363021194934844
49,0.4731,0.4348,463.69031262397766,0.012761956024169923
50,0.47765,0.4637,462.75503516197205,0.012232117187976838
51,0.47445,0.4126,463.8014622926712,0.013168912494182587
52,0.475825,0.4876,466.5037237405777,0.01179544985294342
53,0.475625,0.4483,464.3197786808014,0.012294280350208282
54,0.474425,0.4534,465.50972735881805,0.012832815468311309
55,0.476025,0.4566,463.5861986875534,0.012503588020801544
56,0.47395,0.4643,466.07775497436523,0.012152310931682586
57,0.47195,0.4294,466.91807103157043,0.013312984657287598
58,0.4763,0.4602,462.3514815568924,0.012208819043636321
59,0.478125,0.4685,462.79979276657104,0.011872131609916688
60,0.475775,0.4744,463.39469170570374,0.011849152719974517
61,0.543725,0.5393,402.9749146103859,0.010355405306816102
62,0.56935,0.5462,382.81497180461884,0.01027779619693756
63,0.57365,0.546,375.059546649456,0.010243648463487624
64,0.580675,0.5558,370.58643823862076,0.010030565106868745
65,0.58785,0.5545,364.27838385105133,0.01010930632352829
66,0.5878,0.5712,361.87848526239395,0.009800947642326354
67,0.5937,0.5549,356.48663514852524,0.010077493631839752
68,0.5964,0.5586,354.63251864910126,0.00986746562719345
69,0.6013,0.5669,351.2425338625908,0.009895965093374252
70,0.59795,0.5651,351.87668746709824,0.00985496929883957
71,0.603275,0.5545,349.3933935165405,0.010085140514373779
72,0.60745,0.5712,344.8482277393341,0.009757364255189896
73,0.6093,0.5634,345.51887106895447,0.009989044761657715
74,0.607725,0.5663,344.9862076640129,0.009735308611392974
75,0.614675,0.5679,339.63977962732315,0.009797807288169862
76,0.61425,0.5643,340.8655713200569,0.00995966985821724
77,0.611975,0.5604,341.0496027469635,0.009782252514362336
78,0.614375,0.5639,338.7198009490967,0.009915548890829086
79,0.6159,0.5737,338.438323199749,0.009663622212409973
80,0.61625,0.5643,337.1571065187454,0.009862712574005127
81,0.616525,0.5561,336.09087443351746,0.010006163990497589
82,0.61625,0.5702,336.8340071439743,0.009726092153787613
83,0.6213,0.572,334.1452987790108,0.009776309204101562
84,0.61965,0.5685,334.5546828508377,0.009822720003128052
85,0.62055,0.5589,333.80764269828796,0.009917098459601403
86,0.62205,0.5685,332.7199519276619,0.009724338448047638
87,0.62205,0.5676,332.78494894504547,0.009947782599925995
88,0.623225,0.5647,332.32179468870163,0.009811152249574661
89,0.621025,0.5698,332.9778063297272,0.009816507989168168
90,0.625925,0.5685,330.20764142274857,0.009829277956485749
91,0.626125,0.5634,328.41628992557526,0.010104835766553879
92,0.626875,0.5686,329.46021658182144,0.009791654497385026
93,0.624425,0.5649,327.7198480963707,0.009880688029527664
94,0.6286,0.5548,327.3093898296356,0.010047459268569946
95,0.62845,0.5653,327.52028942108154,0.009916251444816589
96,0.627725,0.5702,328.03928005695343,0.009782020956277847
97,0.629825,0.5673,326.9092701077461,0.010004103493690492
98,0.62995,0.5647,325.4018889069557,0.010105253213644028
99,0.628175,0.5677,326.4974996447563,0.009893538218736649
100,0.629825,0.5694,324.16626113653183,0.009861321932077408
