""
epoch,train_acc,valid_acc,train_loss,valid_loss
1,0.30004626512527466,0.3973,603.2014153003693,0.0131593403339386
2,0.4042685031890869,0.4553,532.0781885385513,0.011848535108566285
3,0.4453922510147095,0.4675,503.03267109394073,0.011954294848442078
4,0.46879398822784424,0.4591,490.95504891872406,0.01244225332736969
5,0.48685184121131897,0.5116,480.0542755126953,0.011123527836799622
6,0.5074604153633118,0.5102,463.4842151403427,0.010991920447349549
7,0.5083746314048767,0.5448,463.95741951465607,0.010392535710334778
8,0.5176292061805725,0.536,455.86394971609116,0.010603262770175934
9,0.5345933437347412,0.558,441.7205154299736,0.010407681572437287
10,0.534523606300354,0.5676,445.530214369297,0.010196585726737976
11,0.5396913290023804,0.5621,438.8599568605423,0.010212622797489166
12,0.5439760088920593,0.5517,437.91660207509995,0.010409646999835967
13,0.5443085432052612,0.5477,435.6060202717781,0.010972609519958496
14,0.5645028352737427,0.5683,420.83310759067535,0.010375489449501037
15,0.5507955551147461,0.5632,433.19337528944016,0.010199549925327301
16,0.5544031262397766,0.508,431.3047214746475,0.011787992441654205
17,0.5551128387451172,0.5441,428.3309660553932,0.010732370626926422
18,0.5630698800086975,0.5398,423.2105438709259,0.010847136318683625
19,0.5588358640670776,0.5827,425.29113578796387,0.00979056681394577
20,0.5706854462623596,0.5759,418.1386251449585,0.009895127594470978
21,0.5598958730697632,0.5757,427.1925959587097,0.010038418227434159
22,0.5692625641822815,0.5708,419.06952607631683,0.010338317453861236
23,0.5713798403739929,0.5911,415.78154665231705,0.009667872852087022
24,0.5702270865440369,0.5755,417.2348954677582,0.009945459520816803
25,0.5658444762229919,0.5612,423.354989528656,0.010508985829353333
26,0.573203444480896,0.5556,419.8842678666115,0.010310394465923309
27,0.5777357220649719,0.5736,413.2178509235382,0.010077163302898408
28,0.5698097944259644,0.5763,419.19123047590256,0.010001880365610123
29,0.5781752467155457,0.5681,411.27077823877335,0.010056585884094239
30,0.5742673277854919,0.5601,417.7699211835861,0.010631093156337737
31,0.5684903264045715,0.5807,423.5986222624779,0.010148899948596954
32,0.581881582736969,0.586,409.82671880722046,0.00965459926724434
33,0.5792542695999146,0.5914,411.65586644411087,0.009880575102567672
34,0.5763803124427795,0.5485,416.1178580522537,0.010619568848609925
35,0.577212393283844,0.5775,417.9732218384743,0.009940568780899047
36,0.5794167518615723,0.5604,415.66939026117325,0.010589005136489868
37,0.5774524211883545,0.5247,415.1343622803688,0.011711226725578307
38,0.5820751190185547,0.5796,415.07673144340515,0.010306581628322601
39,0.585548996925354,0.5825,410.8590598702431,0.009892334455251693
40,0.5873302817344666,0.5507,408.31353855133057,0.010755886673927307
41,0.5748835206031799,0.5929,417.95957523584366,0.009715901869535446
42,0.5914734601974487,0.5747,403.9235545396805,0.010230464714765549
43,0.5846407413482666,0.5937,410.87383872270584,0.009570680975914002
44,0.5939058065414429,0.5903,402.32039415836334,0.009794443172216415
45,0.5983700156211853,0.5919,398.67960208654404,0.009647252660989761
46,0.5747125148773193,0.5687,421.2899285554886,0.010313810670375824
47,0.5817685723304749,0.5557,413.65337908267975,0.010437871515750884
48,0.5899457335472107,0.5981,404.73442363739014,0.00964437016248703
49,0.5899035930633545,0.5378,402.7194522023201,0.010984955716133117
50,0.5864070057868958,0.5762,407.3784858584404,0.010068676054477692
51,0.5944729447364807,0.4836,403.78125643730164,0.012406226992607117
52,0.5896298289299011,0.5967,405.525462269783,0.009721131086349487
53,0.5911307334899902,0.5972,401.28673273324966,0.00965175421833992
54,0.5871698260307312,0.5925,406.86311435699463,0.00982792581319809
55,0.5990330576896667,0.5856,400.41321754455566,0.009982340574264526
56,0.588881254196167,0.5791,409.7226711511612,0.00982915334701538
57,0.5877100825309753,0.5739,411.51179015636444,0.010181086933612823
58,0.5903372764587402,0.5486,405.8467900753021,0.010901176941394806
59,0.5862115621566772,0.5907,412.7559469342232,0.009621849137544632
60,0.5994364023208618,0.5538,396.7155941724777,0.011242378950119019
61,0.6608759164810181,0.6542,349.206394970417,0.008246959120035171
62,0.7033165097236633,0.6591,313.3406956791878,0.00808074197769165
63,0.7052497863769531,0.6527,311.3191644847393,0.008348527365922927
64,0.7282596826553345,0.6607,288.63092413544655,0.008234947150945663
65,0.7113281488418579,0.6609,310.7093246281147,0.008192035937309265
66,0.7173255085945129,0.6649,303.09183636307716,0.008252268624305725
67,0.7272235155105591,0.6678,293.354386895895,0.008101062095165253
68,0.750566840171814,0.659,270.4248450398445,0.008319025611877442
69,0.7420474886894226,0.663,279.5639816522598,0.008370886301994323
70,0.752386748790741,0.6487,268.3766276538372,0.00849877165555954
71,0.7620812654495239,0.6542,262.4029061496258,0.008460743653774262
72,0.7497228980064392,0.6559,275.7712114751339,0.00863325429558754
73,0.759483814239502,0.6554,266.86978366971016,0.008462698823213577
74,0.7713521718978882,0.6517,253.94450396299362,0.008627346414327622
75,0.7496678233146667,0.6549,277.18460115790367,0.008724752366542816
76,0.7333650588989258,0.6515,292.6149325668812,0.008725476229190827
77,0.7762830257415771,0.6495,247.99291861057281,0.008829439240694046
78,0.7713755369186401,0.6546,254.3832010924816,0.00885598759651184
79,0.7710840702056885,0.6513,256.5464397370815,0.00890033746957779
80,0.7632343173027039,0.6553,264.5860621333122,0.008646692943572998
81,0.7746148705482483,0.6515,254.0208896100521,0.008989219081401824
82,0.769978940486908,0.6452,260.15299183130264,0.009007102870941162
83,0.7643349766731262,0.6455,263.32840269804,0.009093703293800354
84,0.7738369703292847,0.6413,255.84612223505974,0.00897689124941826
85,0.7750759720802307,0.6433,254.82735067605972,0.009061980277299882
86,0.7826157808303833,0.6482,247.7369890511036,0.008969034492969513
87,0.760376513004303,0.636,271.5589933991432,0.009073958677053452
88,0.7611871361732483,0.6492,267.5084784179926,0.009114534932374954
89,0.7766710519790649,0.6361,256.951041162014,0.009159331458806992
90,0.7900123596191406,0.6383,243.76381830871105,0.009406382262706757
91,0.7735702991485596,0.643,257.224447876215,0.009368837034702301
92,0.7776841521263123,0.6486,250.53048300743103,0.009319806009531022
93,0.7910820841789246,0.6257,239.21270932257175,0.009757949793338775
94,0.7916722893714905,0.6483,236.44041372835636,0.009170288133621215
95,0.7870728969573975,0.6353,245.9279683828354,0.00940650880932808
96,0.7938887476921082,0.6421,241.37219482660294,0.009310615241527558
97,0.7926318645477295,0.6415,240.07241487503052,0.009154898208379746
98,0.7722852230072021,0.6414,258.6156812310219,0.00923908418416977
99,0.7747870087623596,0.6374,259.5877270400524,0.00968255124092102
100,0.7811486124992371,0.6348,253.22325040400028,0.009515911692380905
